date,open,low,high,close,volume
2020-10-22 00:00:00,906.1,901.96,918.3,918.3,133646710
2020-10-23 00:00:00,918.84,918.84,930.59,930.3,163038710
2020-10-26 00:00:00,929.5,919.56,942.72,919.56,167434310
2020-10-27 00:00:00,919.56,914.72,926.52,915.46,189908440
2020-10-28 00:00:00,913.37,888.88,916.0,888.88,366878160
2020-10-29 00:00:00,888.88,879.74,894.19,886.68,151632600
2020-10-30 00:00:00,887.34,875.84,893.42,892.55,130033580
2020-11-02 00:00:00,892.68,889.83,900.03,899.27,83556370
2020-11-03 00:00:00,899.27,897.3,904.78,902.14,110878290
2020-11-04 00:00:00,902.14,900.74,910.59,905.48,112218650
2020-11-05 00:00:00,905.48,903.64,913.2,903.64,97631160
2020-11-06 00:00:00,903.68,899.51,907.67,902.91,79120200
2020-11-09 00:00:00,902.91,902.91,917.42,917.42,108928030
2020-11-10 00:00:00,917.45,916.5,929.66,916.5,137867540
2020-11-11 00:00:00,916.98,910.39,919.95,916.68,114386310
2020-11-12 00:00:00,916.68,916.21,923.0,923.0,85346880
2020-11-13 00:00:00,923.0,923.0,931.2,931.2,122988700
2020-11-16 00:00:00,931.4,915.23,939.1,915.97,173012830
2020-11-17 00:00:00,916.25,916.25,934.65,934.65,129177640
2020-11-18 00:00:00,935.24,931.18,939.62,937.67,153573720
2020-11-19 00:00:00,937.67,936.32,945.06,944.92,166086320
2020-11-20 00:00:00,944.92,942.28,950.89,950.89,125700510
2020-11-23 00:00:00,950.89,946.14,961.35,960.03,164653110
2020-11-24 00:00:00,960.03,948.67,964.53,960.03,184868340
2020-11-25 00:00:00,959.61,957.09,963.81,960.63,175122450
2020-11-26 00:00:00,960.63,953.46,964.16,964.16,156138260
2020-11-27 00:00:00,964.16,963.69,971.11,971.11,142656350
2020-11-30 00:00:00,971.11,965.89,975.46,965.89,168722120
2020-12-01 00:00:00,965.89,951.92,976.44,976.35,382130380
2020-12-02 00:00:00,976.35,973.58,981.28,979.95,187854660
2020-12-03 00:00:00,979.95,978.16,986.4,985.44,371372500
2020-12-04 00:00:00,985.44,983.03,988.68,984.34,182020670
2020-12-07 00:00:00,984.34,984.07,992.59,992.01,148301050
2020-12-08 00:00:00,992.01,988.71,996.64,993.61,153446320
2020-12-09 00:00:00,993.61,993.61,1004.61,1004.03,180899680
2020-12-10 00:00:00,1004.03,994.28,1008.6,994.28,173563520
2020-12-11 00:00:00,994.28,994.28,1008.65,1008.65,301227250
2020-12-14 00:00:00,1008.65,1008.65,1024.28,1024.28,160378000
2020-12-15 00:00:00,1024.28,1009.8,1025.34,1013.02,173336680
2020-12-16 00:00:00,1013.02,1013.02,1029.72,1029.72,178525030
2020-12-17 00:00:00,1029.72,1015.86,1029.72,1016.95,405163660
2020-12-18 00:00:00,1016.95,1016.95,1037.98,1036.65,183606010
2020-12-21 00:00:00,1036.65,1036.65,1052.85,1049.71,187655270
2020-12-22 00:00:00,1049.71,1043.8,1053.81,1052.23,392272760
2020-12-23 00:00:00,1052.23,1043.88,1058.91,1045.7,203334040
2020-12-24 00:00:00,1045.7,1013.9,1051.56,1033.95,212709620
2020-12-25 00:00:00,1033.95,1026.05,1052.16,1052.13,161859380
2020-12-28 00:00:00,1052.13,1047.45,1063.09,1054.23,190250810
2020-12-29 00:00:00,1054.23,1050.05,1062.61,1058.39,153419410
2020-12-30 00:00:00,1058.39,1055.25,1069.5,1059.16,173017710
2020-12-31 00:00:00,1059.16,1058.9,1074.02,1070.77,13603031
2021-01-04 00:00:00,1070.77,1070.77,1097.61,1091.87,23373010
2021-01-05 00:00:00,1091.87,1086.07,1104.78,1104.3,19164110
2021-01-06 00:00:00,1104.3,1104.3,1125.63,1113.72,22522650
2021-01-07 00:00:00,1113.72,1113.72,1130.59,1130.59,21540140
2021-01-08 00:00:00,1130.59,1130.59,1156.38,1147.86,220086200
2021-01-11 00:00:00,1147.86,1147.86,1165.99,1163.4,222792000
2021-01-12 00:00:00,1163.4,1155.9,1169.27,1169.03,202517400
2021-01-13 00:00:00,1169.03,1161.87,1178.44,1164.57,187356100
2021-01-14 00:00:00,1164.57,1156.58,1169.97,1168.99,416972100
2021-01-15 00:00:00,1168.99,1168.99,1185.46,1182.2,211717400
2021-01-18 00:00:00,1182.2,1171.96,1188.53,1173.34,199288900
2021-01-19 00:00:00,1173.34,1098.47,1173.61,1107.32,324705300
2021-01-20 00:00:00,1107.32,1073.13,1121.97,1116.21,262600200
2021-01-21 00:00:00,1116.21,1114.26,1152.9,1151.3,204600400
2021-01-22 00:00:00,1151.3,1147.88,1164.45,1156.58,210394400
2021-01-25 00:00:00,1156.58,1149.26,1164.7,1154.29,198478400
2021-01-26 00:00:00,1154.29,1107.54,1155.32,1125.09,236714100
2021-01-27 00:00:00,1125.09,1073.74,1125.25,1083.63,241013700
2021-01-28 00:00:00,1083.63,1008.53,1083.63,1010.75,282129400
2021-01-29 00:00:00,1010.75,978.85,1070.05,1048.31,242653600
2021-02-01 00:00:00,1536.67,1531.2,1549.81,1549.81,18301870
2021-02-02 00:00:00,1029.86,1025.18,1079.87,1079.7,162837100
2021-02-03 00:00:00,1079.7,1079.7,1122.04,1117.98,204897000
2021-02-04 00:00:00,1117.98,1103.11,1126.64,1117.74,155634900
2021-02-05 00:00:00,1117.74,1117.74,1135.5,1135.5,139783900
2021-02-08 00:00:00,1135.5,1077.4,1136.38,1092.59,228472200
2021-02-09 00:00:00,1092.59,1089.85,1129.49,1129.49,17319220
2021-02-17 00:00:00,1129.49,1129.49,1174.91,1174.91,174115900
2021-02-18 00:00:00,1174.91,1162.48,1187.94,1187.94,183246200
2021-02-19 00:00:00,1187.94,1168.18,1188.61,1180.59,166179400
2021-02-22 00:00:00,1180.59,1172.71,1190.48,1180.55,175256400
2021-02-23 00:00:00,1180.55,1174.18,1191.74,1182.47,195049200
2021-02-24 00:00:00,1182.47,1161.13,1192.04,1167.18,178724400
2021-02-25 00:00:00,1167.18,1158.06,1175.19,1169.82,158378900
2021-02-26 00:00:00,1169.82,1153.41,1175.4,1173.6,178992100
2021-03-01 00:00:00,1173.6,1173.6,1192.85,1191.83,191028700
2021-03-02 00:00:00,1191.83,1188.01,1203.84,1194.71,169421200
2021-03-03 00:00:00,1194.71,1189.14,1198.36,1195.6,154440900
2021-03-04 00:00:00,1195.6,1164.76,1200.42,1174.29,183128200
2021-03-05 00:00:00,1174.29,1157.45,1174.8,1173.83,205207500
2021-03-08 00:00:00,1173.83,1164.78,1186.29,1170.0,164933700
2021-03-09 00:00:00,1170.0,1150.18,1170.0,1163.0,159976000
2021-03-10 00:00:00,1163.0,1154.29,1173.58,1172.26,156010800
2021-03-11 00:00:00,1172.26,1172.26,1190.47,1188.71,167311800
2021-03-12 00:00:00,1188.71,1184.64,1193.97,1187.81,147251900
2021-03-15 00:00:00,1187.81,1184.32,1194.29,1190.86,149674500
2021-03-16 00:00:00,1190.86,1177.05,1192.15,1187.84,163858900
2021-03-17 00:00:00,1187.84,1183.83,1193.45,1193.45,193596700
2021-03-18 00:00:00,1193.71,1193.45,1211.54,1211.54,155167300
2021-03-19 00:00:00,1211.54,1201.17,1211.54,1203.36,171417400
2021-03-22 00:00:00,1203.36,1194.79,1207.28,1198.54,161297800
2021-03-23 00:00:00,1198.54,1182.22,1198.54,1186.98,155689000
2021-03-24 00:00:00,1186.98,1157.69,1186.98,1165.61,190246400
2021-03-25 00:00:00,1165.61,1159.25,1175.86,1164.64,165895200
2021-03-26 00:00:00,1164.64,1143.08,1170.75,1167.19,172710300
2021-03-29 00:00:00,1167.19,1167.19,1182.06,1180.07,145667400
2021-03-30 00:00:00,1180.07,1175.9,1192.9,1190.86,217511900
2021-03-31 00:00:00,1190.86,1189.47,1203.18,1196.24,171904000
2021-04-01 00:00:00,1196.24,1196.24,1227.56,1226.16,222239500
2021-04-02 00:00:00,1226.16,1226.16,1243.67,1238.03,199249300
2021-04-05 00:00:00,1238.03,1238.03,1256.12,1249.9,219162300
2021-04-06 00:00:00,1249.9,1245.16,1260.35,1255.36,222982600
2021-04-07 00:00:00,1255.36,1248.15,1257.77,1257.77,213314200
2021-04-08 00:00:00,1257.77,1249.45,1263.03,1251.81,161341700
2021-04-09 00:00:00,1251.81,1245.26,1256.06,1253.26,173791500
2021-04-12 00:00:00,1253.26,1253.26,1279.52,1278.19,267960600
2021-04-13 00:00:00,1278.19,1276.74,1298.78,1277.35,255773400
2021-04-14 00:00:00,1277.35,1263.89,1290.77,1290.77,207521100
2021-04-15 00:00:00,1290.77,1283.98,1300.84,1284.2,236678100
2021-04-16 00:00:00,1284.2,1262.52,1291.37,1276.87,247667200
2021-04-19 00:00:00,1276.87,1271.52,1306.22,1306.22,210596900
2021-04-20 00:00:00,1306.22,1303.68,1331.56,1312.68,244920500
2021-04-22 00:00:00,1312.68,1271.53,1317.5,1271.53,232535000
2021-04-23 00:00:00,1271.53,1262.89,1301.39,1301.39,245629900
2021-04-26 00:00:00,1301.39,1269.78,1305.73,1275.04,216946500
2021-04-27 00:00:00,1275.04,1264.57,1283.95,1283.81,171780800
2021-04-28 00:00:00,1283.81,1280.54,1296.48,1294.06,206895500
